*PRE	PRE	0.000	4.170	4.170	c' est la conséquence de la construction de la ligne 15 du métro du Grand Paris
*PRE	PRE	4.180	6.480	2.300	ces propriétaires sont âgés de 60 à 87 ans 
*PRE	PRE	6.480	11.430	4.950	ils vivent très mal cette expropriation expropriation qui n' était pas prévue dans le projet initiale
*PRE	PRE	11.430	15.200	3.770	(Razida Arezid) avec Benjamin Poulain  et Claire (Verof)
*PRE	PRE	73.500	77.330	3.830	même s' ils sont très peu nombreux les riverains se serrent les coudes 
*PRE	PRE	77.340	79.140	1.800	ils ont lancé une pétition 
*PRE	PRE	79.220	82.180	2.960	Nicole et Roger Lesellier n' ont pas hésités à la signer 
*PRE	PRE	95.450	98.710	3.260	la société du grand paris ne compte pas modifier son projet 
*PRE	PRE	98.710	102.520	3.810	mais affirme tout mettre en oeuvre pour les propriétaires concernés 
perso 2		15.850	18.420	2.570	le projet de toute une vie
perso 2		18.430	25.270	6.840	Jean François et Fabienne Boulet 76 et 70 ans ont emménagé dans cette maison il y a 20ans
perso 2		25.270	29.410	4.140	aujourd'hui c'est le chantier du étro du Grand Paris qui enace leur quotidien
perso 2		42.090	44.890	2.800	la futur ligne de métro doit relie la ville de Saint-Denis
perso 2		44.890	47.980	3.090	à celle de Champigny en passant par Rosny-sous-Bois
perso 2		49.210	52.930	3.720	en tout 25 maisons devraient être détruites totalement
perso 3		30.480	32.690	2.210	ils ont besoin donc de 25 parcelles
perso 3		32.690	34.360	1.670	les 25 parcelle qui sont là
perso 3		34.360	36.990	2.630	donc ça commence à l'immeuble et sa prend tout
perso 3		36.990	38.280	1.290	toutes les constructions
perso 3		38.280	39.200	0.920	tout les pavillons
perso 3		39.200	40.010	0.810	jusque là bas 
perso 3		40.010	40.930	0.920	euh
perso 4		54.470	57.950	3.480	on a du mal à imaginer qu'un jour on va devoir faire des cartons
perso 4		57.950	60.090	2.140	mettre toute notre vie dans des cartons
perso 4		60.090	62.160	2.070	pour aller dans un endroit
perso 4		62.380	63.740	1.360	où
perso 4		63.740	65.820	2.080	on ne connaîtra personne
perso 4		65.820	68.440	2.620	on a élever nos enfants dans ces maisons
perso 4		68.440	69.240	0.800	on a 
perso 4		69.330	72.180	2.850	je veux dire qu'il y    yy             a tant de souvenir aussi
perso 5		84.700	86.580	1.880	on se défendra le maximum
perso 5		86.580	88.470	1.890	mais on a pas du tout envie de
perso 6		89.460	91.450	1.990	comme euh dit Fabienne sa femme 
perso 6		91.460	93.580	2.120	on s'attachera à la bariière
