speaker,text,label
*PRE,c' était le vingt+sept juin quand Maigret arriva à la poterne de la santé le fonctionnaire attendri regardait un chat blanc qui jouait avec le chien de la crémière,anger
*PRE, il doit y avoir des jours aussi où les pavés sont plus sonores,anger
*PRE,les pas de Maigret résonnèrent dans la cour immense,anger
*PRE,au bout d' un couloir il interrogea un gardien,fear
*PRE,il a appris,joy
*PRE,pas encore,fear
*PRE,Georges+Simenon et la guinguette à deux sous une enquête du commissaire maigret librairie Arthème+Fayard 1931,love
*PRE,métropolitain les jeudi de l'architecture ,anger
*PRE,nous retrouvons aujourd'hui Roland+Castro,joy
*PRE,l' architecte Roland+Castro,anger
*PRE,non pas qu' il aurait souscrit un abonnement dans cette émission mais nous l' avions déjà par deux fois invité,joy
*PRE,et par deux fois un déferlement un torrent d' actualité avait réduit à peau de chagrin le temps que nous lui consacrions ,sadness
*PRE,nous avions en deux émissions à peine abordé ses origines,fear
*PRE,ses origines sociales notamment on parlait de sa jeunesse de son gauchisme et de sa psychanalyse,anger
*PRE,aujourd'hui nous passerons au vif du sujet et ce sera à propos de son architecture,fear
*PRE,Roland Ricardo+Porro que nous rencontrions il y a trois semaines ,joy
*PRE,considération pour sa propre architecture comme romantique et Castro aussi la sienne pour romanesque,love
*PRE,il nous dira ce qu'il entend par là,anger
*PRE,et puis ce sera surtout bien sûr à propos d' urbanisme,joy
*PRE,du remodelage des grands ensembles,fear
*PRE,de Banlieues+89,anger
*PRE,et évidemment du Grand Paris ,anger
*PRE,une petite affaire de HLM à Courcouronnes ,anger
*PRE,certains échanges sur internet depuis quelques jours posent une fois de plus la question de la démolition des grands ou des petits ensembles de logements sociaux,anger
*PRE,le destin des immeubles notamment en banlieue est parfois cruel pour leurs habitants mais aussi pour leurs architectes ,anger
*PRE,notamment depuis que les nouvelles procédures de la rénovation urbaine,anger
*PRE,ce qu'on appelle Anru A N R U,anger
*PRE,préconisent et financent la démolition au nom de divers critères,sadness
*PRE,critères sociaux critères de désenclavement puis parfois critères de police ou de surveillance critères de sécurité ,joy
*PRE,un édifice qui figure dans le catalogue de l' exposition du Pavillon de l' Arsenal sur les années quatre+vingts va en faire les frais,love
*PRE,il faudra réimprimer la page cent+quarante+neuf de cet ouvrage qui est à peine paru,joy
*PRE,il s' agit d' un groupe de quatre+vingts logements construits par Paul+Chemetov dans la Zac du canal à Courcouronnes c' est+à+dire dans la ville nouvelle d' Evry ,joy
*PRE,un immeuble dans le style rigoriste de ce concepteur avec une colonnade de trois niveaux abritant des commerçants au rez+de+chaussée ,joy
*PRE,et une grande traversée monumentale ce qu' on appelait à l' époque une fenêtre urbaine,fear
