speaker,text,label
*PRE,car dernières semaines parlé ' histoire Paris ' -il maintenant futur,sadness
*PRE,car Paris doit tout fois rester fidèle histoire proteger incroyable patrimoine,love
*PRE,temp ' capitale inscrit ' économie mondialisée,fear
*PRE,doit être respectueuse ' après- Kyoto ' dire sobre énergie peu polluantes,joy
*PRE,faut construire logements améliorer l'offre transport entre banlieue centre notament,joy
*PRE,c'est donc cadrature cercle,sadness
*PRE,va tenter résoudre projets grand paris dont vais parler aujourd'hui,joy
*PRE,regardez cette vue aérienne,surprise
*PRE,montre territoire ' environ quinze mille kilomètres carrés autour paris capitale france,fear
*PRE,quoi parlons exactement,anger
*PRE,bassin parisien région parisienne ' ile-de-france donc précis,fear
*PRE,' abord a ville paris -même intra-muros donc voyez limite administrative,fear
*PRE,dont longuement raconté ' histoire,anger
*PRE,delà ' ' appelle petite couronne,fear
*PRE,' agit départements immédiatement voisin paris,fear
*PRE,nombre trois,fear
*PRE,' abord a ville paris -même intra-muros donc voyez limite administrative dont longuement raconté ' histoire delà ' ' appelle petite couronne ' agit départements immédiatement voisin paris nombre trois hauts seine saint denis val-de-marne,fear
*PRE,Haut-de-Seine Seine-Saint-Denis Val-de-Marne,fear
*PRE,mêmes entourés départements grande couronne,love
*PRE,Seine-et-Marne Essonne Yvelines Val d'Oise,anger
*PRE,c'est tout cet ensemble forme région IIe-de-France,joy
*PRE,Ile-de-France ' 22 régions compte pay,joy
*PRE,occupe moins trois cent territoire regroupe dix neuf cent population française génère seule trente cent PIB national,joy
*PRE,vie économique sociale région très centré capitale ' ailleurs tracé réseaux transport montre très bien,joy
*PRE,regardez plan rer réseau express régional,joy
*PRE,voit ligne convergent vers Paris rer contrairement nom réseaux indique,joy
*PRE,connecte pa villes périphérie entres elles,joy
*PRE,réseau certes très étendue aujourd'hui vieillissant surtout saturé,fear
*PRE,' abord manque ' investissement,sadness
*PRE,surtout parce région parisienne a connu croissance démographique très importante,joy
*PRE,plus 20 cent petite couronne entre 1999 2009,anger
*PRE,ainsi rer a a souvent barre million voyageurs jour encore journée a plus voyageur ligne rer b ' ' a ' ensemble réseau tgv France,joy
*PRE,bien prendre mesure cette saturation comparons densité population,joy
*PRE,alors moyenne nationale 114 habitant kilomètre carré 976 Ile-de-France plus 21 mille habitant kilomètre carré Paris,joy
*PRE,fait ' ' plus forte densité urbaine monde,anger
*PRE,donner idée New York ' petit peu plus 10 mille habitant kilomètre carré,joy
*PRE,Hong Kong 6 400 habitant kilomètre carré,anger
*PRE,' explication cette densité ' faible superficie Paris,sadness
*PRE,ville intra-muros fait 105 kilomètres carrés,fear
*PRE,peu comparé Berlin Rome encore Londres 15 fois plus vaste si contour administratifs différents,fear
*PRE,alors comment expliquer Paris si peu étendu comparaison autres capitales européennes,fear
*PRE,' abord ville ' a cessé ' être limité enceintes ' elles militaires administrative fiscal,sadness
*PRE,enceinte Philippe Auguste enceinte Charles cinq barrière fiscale fermiers généraux fortification tier,fear
*PRE,cette dernière enceinte a détruit années 1920,sadness
*PRE,' pourtant juste côté ' a construit partir 1960,sadness
*PRE,cette autoroute urbaine ' boulevard périphérique fois encore limite isole ville,fear
*PRE,tout cela ' ajoute règlements ' urbanisme,anger
*PRE,jusqu ' Novembre 2010,anger
*PRE,quelques exception près hauteur constructibles limitée 25 mètres arrondissements centraux,fear
*PRE,37 mètres arrondissements périphériques,fear
*PRE,ceci afin protéger ' extraordinaire cohérence architectural cette ville vieille 2000 an,joy
*PRE,résumons superficie restreinte densité population importante hauteur construction limiité flux domicile travail convergent tous vers Paris,fear
*PRE,résultats Paris étouffe alors faire bien faut imaginer Paris plus grand Paris grandi somme Grand¨Paris,joy
*PRE,' ailleurs ' idée ' pa nouvelle 19e siècle Napoléon trois rêvent déjà ' capitale ' étendrait Saint Germain Laye environs Chelles,love
*PRE,puis années 30 ' architecte urbaniste Henri Proste,fear
*PRE,établi plan directeur région parisienne propose désenclaver Paris,fear
*PRE,nouveaux ax routiers surtout redéfinition périmètre ' urbanisation banlieues,fear
*PRE,' voit comme porte ' entrée capitale,joy
*PRE,' idée ' Grand Paris revient fin années 2000,sadness
*PRE,peut retenir trois éléments chantiers prévoir,fear
*PRE,gouvernance ' urbanisme logements transport,anger
*PRE,commençons transport,fear
*PRE,baptisé Grand Paris Express,anger
*PRE,réseau voyez là doit répondre nouveaux besoins,joy
*PRE,matière transport,anger
*PRE,favoriser plus grande attractivité région,joy
*PRE,' appuie ' ouverture nouvelles ligne modernisation ' extension ligne existantes,love
*PRE,ainsi ligne quatorze prolongée nord direction Saint Denis sud jusqu ' ' aéroport ' Orly,joy
*PRE,ligne onze après premier prolongement,fear
*PRE,atteindra Noisy-Champs 2025,anger
*PRE,serum alors connectée rer a nouvelles ligne contourneront Paris,fear
*PRE,regardons justement nouvelles ligne prévues,fear
*PRE,ligne quinze serum opérationnelle 2030,fear
*PRE,' métro enterré ' capacité équivalente celle ' actuel métro parisien,fear
*PRE,dessert quartier ' affaire Défense,anger
*PRE,relie villes petite couronne,fear
*PRE,permet ' aller ' point autre évitant transiter centre Paris,fear
*PRE,ligne 16 devrait ouvrir 2023,joy
*PRE,' ligne métro automatique va désenclaver banlieues plus éloigné capitale,fear
*PRE,reliées ligne a b rer,fear
*PRE,ligne 17 prévus ' horizon 2027,joy
*PRE,doit connecter aeroports Roissy-Charles-de-Gaulle Bourget,joy
*PRE,ainsi permettre desert vers Paris,joy
*PRE,finir ligne 18,fear
*PRE,reliera 2030 ' aéroport ' Orly Versailles,joy
*PRE,traversant plateau Saclay important pôle ' enseignement recherche scientifique,fear
*PRE,après 2030 prolongement prévu jusqu ' Nanterre autre pôle d'enseignement importante université,joy
*PRE,total deux cent cinq kilomètres ligne,joy
*PRE,72 nouvelles gares,anger
