speaker,text,label
*PRE,( Razida Arezid ) Benjamin Poulain Claire ( Verof ),joy
*PRE,' très peu nombreux riverains serrent coudes,sadness
*PRE,lancé pétition,joy
*PRE,Nicole Roger Lesellier ' pa hésités signer,fear
*PRE,société grand paris compte pa modifier projet,anger
*PRE,affirme tout mettre oeuvre propriétaires concernés,love
perso 2,projet toute vie,joy
perso 2,Jean François Fabienne Boulet 76 70 an emménagé cette maison a 20ans,sadness
perso 2,aujourd'hui c'est chantier étro Grand Paris enace quotidien,anger
perso 2,futur ligne métro doit relie ville Saint-Denis,joy
perso 2,celle Champigny passant Rosny-sous-Bois,fear
perso 2,tout 25 maisons devraient être détruites totalement,sadness
perso 3,besoin donc 25 parcelles,joy
perso 3,25 parcelle là,joy
perso 3,donc ça commence l'immeuble prend tout,joy
perso 3,toutes construction,fear
perso 3,tout pavillons,fear
perso 3,jusque là ba,anger
perso 3,euh,fear
perso 4,a mal imaginer qu'un jour va devoir faire carton,sadness
perso 4,mettre toute vie carton,sadness
perso 4,aller endroit,fear
perso 4,où,anger
perso 4,connaîtra personne,fear
perso 4,a élever no enfants maisons,love
perso 4,a,anger
perso 4,veux dire qu'il yy a tant souvenir aussi,love
perso 5,défendra maximum,joy
perso 5,a pa tout envie,joy
perso 6,comme euh dit Fabienne femme,anger
perso 6,s'attachera bariière,love
