speaker,text,label
*PRE,c' est un thème vous le savez qui paraît est bien loin des préoccupations des des parisiens ,anger
*PRE,en direct avec nous Dhaïk alors pourquoi les politiques y tiennent autant ,anger
*PRE,mais quelles sont les propositions des des candidats et qu' est ce qui les différencies,joy
*PRE,merci Dhaik  pour toutes ces précisions ,joy
perso 2,ben faut rappeler ce que c' est déjà le Grand Paris ,joy
perso 2, ce serait une structure commune qui regrouperait Paris et les villes voisines ,joy
perso 2,ce thème est arrivé en 2006 et c' est Françoise de Panafieu qui s' en est emparée,love
perso 2,parce que c'est un moyen pour elle d' attaqué Bertrand Delanoë,anger
perso 2,de dire qu' il décide pour Paris sans se soucier des conséquences sur la banlieue,love
perso 2,alors Bertrand Delanoë a répliqué dès 2006 en créant la conférence mé~ métropolitaine ,anger
perso 2,une fois par trimestre il réunit des maires de banlieue,anger
perso 2,Nicolas Sarkozy s' est également emparé du débat,anger
perso 2,et ça c' est parce que (l'hyper) président ne veut être étranger à aucun dossier ,surprise
perso 2,et puis parce que ça concerne surtout aussi un petit peu les Hauts-de-Seine ,fear
perso 2,départements sur lequel il a toujours un oeil très attentif,love
perso 2,alors tous les candidats sont d' accord sur le fond sur la nécessité de créer cette structure commune,joy
perso 2,par contre sur la mise en place et la méthode il y a deux écoles,anger
perso 2, il y a l' école des petits pas c' est celle de l' UMP et des Verts ,anger
perso 2,il considère qu' il faut d' abord définir un projet concret ,joy
perso 2,par exemple sur du transport,anger
perso 2,après on invite les maires des communes voisines à venir voir comment ça se passe,joy
perso 2,on voit si c' est possible et on voit comment on peut s' organiser ,joy
perso 2,et puis il y a l' autre école qui dit~ qui veut mettre en place une grande structure commune,joy
perso 2,et avant~ et après définir les projets,fear
perso 2,c' est le cas de Bertrand Delanoë qui s' engage une fois élu ,joy
perso 2,a~ une fois élu pardon,joy
perso 2,si il était réélu ,anger
perso 2,à regrouper  tous les maires nouvellement élu,joy
perso 2,et à décidé quel serait le périètre de ce qu'il appelle Paris métropole,fear
perso 2,c'est la cas du modem,love
perso 2,qui voudraient en plus soumettre les conclusions un référendum auprès des habitants franciliens,anger
perso 2,histoire d'intéresser les lecteurs,joy
perso 2,parce que c'est vrai que ,joy
perso 2,c'est un thème qui passionne les politiques ,love
perso 2,parce que ça bouleverse ,fear
perso 2,euh,fear
perso 2,les structures des collectivités locales ,anger
perso 2,mais c' est vrai on peut être pensé que ça passe un petit peu au dessus de la tête,love
perso 2,euh,fear
perso 2,des électeurs et du concret de leurs préoccupations ,joy
