speaker,text,label
*PRE,aperçu réactions politiques sortie discours,anger
*PRE,Daik Audouit Pierre Julien Quiers,anger
perso 3,élus gauche arrivés rangs serrés,fear
perso 3,prêts combat,fear
perso 3,pa besoin montrer point,anger
perso 3,Nicolas Sarkozy a tendu main souhaite associer tous projets,fear
perso 3,a droite sans surprise félicite Valérie Pécresse programme régionales,joy
perso 3,' unanimité ' plus mise,anger
perso 3,' urbanisme,anger
perso 3,certains nouvelle réglementation rime dérégulation,anger
perso 3,hier ' heure consensus,joy
perso 3,tape ' épaule,fear
perso 3,attention campagne régionales point peuvent,anger
perso 4,peut bosser,joy
perso 4,mesre où chacun a accepté s'influencer,love
perso 4,crois que~ ' ' a pa volonté tout ca exprimer,joy
perso 4,' imposer ' haut,anger
perso 5,c'est bien offre véritable partenariat,joy
perso 5,euh système transport fonctionnera euh,joy
perso 5,échéance ' espère,fear
perso 5,10 an moins euh,fear
perso 5,peu faim quant mode financement,joy
perso 6,fait ' parle Paris monde,anger
perso 6,civilisation urbaine euh,anger
perso 6,' quelque chose très important,joy
perso 6,après habitant cocitoyens,joy
perso 6,faut réalisations concrètes matière transport logements ville,joy
perso 6,c'est dessus qu'il faut travailler,joy
perso 7,évident projet,joy
perso 7,projet euh historique région Ile-de-France,joy
perso 7,va réveiller région Ile-de-France,joy
perso 7,ça va être évidemment premier engagement,joy
perso 8,président a fixé 10 an atteindre ' objectif,joy
perso 8,donc ' extrêmement ambitieux,joy
perso 8,espérons allons réussir,joy
perso 9,' a pa aborder question gouvernement,anger
perso 9,gouvernance,anger
perso 9,donc euh va vite mettre loi place,joy
perso 9,' ' état a dirigé structure ( actuelles ),anger
perso 9,enfin pense là citoyen loin tout ça,joy
perso 9,politique aussi,anger
perso 9,là sui sun peu interloqué,fear
