speaker,text,label
perso 1,donc Grand Paris végétal,joy
perso 1,Rogers propose ' envahir espaces délaisser métropole parisienne,
perso 1,constitué vaisseaux rail,
perso 1,personne connait trop espaces,
perso 1,parce fin compte plus moins invisible,
perso 1,donc cette stratégie là consiste construire,
perso 1,fait dessus ferraille là,
perso 1,nappe végétales parc,
perso 1,complexe fin compte,
perso 1,allie euh parc infrastructure nécessaires ville l'après-kyoto,
perso 1,travail urbain depuis années,
perso 1,segmenté fait infrastructure ' côté,
perso 1,après embellie rend vivables espaces,
perso 1,fait peut faire tout peut gérer,
perso 1,penser parc,
perso 1,comme espace où va gérer écoulements eaux,
perso 1,paysage peut être arrosé,
perso 1,propre écoulement eaux bâtiment,
perso 1,peut avoir parc ' éoliennes,
perso 1,fin compte faut savoir joindre ' utile l'agréable,
perso 1,cette stratégie là rend crois image positive,
perso 1,faisable économiquement viable,
perso 1,travail ' équipe Lyon Mangin Offner,
perso 1,assez remarquable hein a a plusieurs dimension,
perso 1,' fallait retenir image sûrement celle -ci,
perso 1,puisqu ' a a lieu assez quotidien transiliens,
perso 1,cette segmentation ' espace,
perso 1,opérés infrastructure routières,
perso 1,donc si accepte ' idée réduire vitesse,
perso 1,fait 90 70 km/h,
perso 1,va créer ici véritables boulevard urbains,
perso 1,donc capacité ' appropriation,
perso 1,donc ' part bien sûr ' approprie végétalisant cet espace là,
perso 1,créant ligne tramway,
perso 1,construisant long cette voie là,
perso 1,encore plus important va créer porosité entre deux segment urbain,
perso 1,aujourd'hui conditionne fin compte ' urbanisme contemporain,
perso 1,puisqu ' crée ici véritables barièrres,
perso 1,rendent do do deux espaces deux espaces vie,
perso 1,parce ' équipe Lyon,
perso 1,voulu euh fin compte révélée cette image,
perso 1,' ' fait Paris 2050,
perso 1,déjà là,
perso 1,ici c'est démonstration potentiel,
perso 1,donc modifiant règles ' implantation,
perso 1,densité,
perso 1,espaces là peuvent transformer,
perso 1,ça ' image pourra advenir demain,
perso 1,peu ' accepte ' modifier règles,
perso 1,travail l'atelier nouvel,
perso 1,évidemment a plusieurs strates a plusieurs épaisseurs,
perso 1,a aussi travail végétale ' retrouve chez Rogers,
perso 1,qu'on retrouve fin compte bon nombre concurrents,
perso 1,parce ' effectivement ' travail première partie,
perso 1,ville ' après- Kyoto donc a évidemment similitude,
perso 1,heureusement 10 projets,
perso 1,chacun fin compte quand,
perso 1,pose diagnostic Paris déjà là,
perso 1,Paris demain ailleurs,
perso 1,fin compte déjà là,
perso 1,c'est travail Paris là va prendre temp,
