speaker,text,label
*PRE,' thème savez paraît bien loin préoccupations parisiens,joy
*PRE,direct Dhaïk alors pourquoi politiques tiennent autant,
*PRE,quelles proposition candidats ' différencies,
*PRE,merci Dhaik toutes précisions,
perso 2,ben faut rappeler ' déjà Grand Paris,
perso 2,structure commune regrouperait Paris villes voisines,
perso 2,thème arrivé 2006 ' Françoise Panafieu ' emparée,
perso 2,parce c'est moyen ' attaqué Bertrand Delanoë,
perso 2,dire ' décide Paris sans soucier conséquences banlieue,
perso 2,alors Bertrand Delanoë a répliqué dès 2006 créant conférence mé~ métropolitaine,
perso 2,fois trimestre réunit maires banlieue,
perso 2,Nicolas Sarkozy ' également emparé débat,
perso 2,ça ' parce ( l'hyper ) président veut être étranger aucun dossier,
perso 2,puis parce ça concerne surtout aussi petit peu Hauts-de-Seine,
perso 2,départements lequel a toujours oeil très attentif,
perso 2,alors tous candidats ' accord fond nécessité créer cette structure commune,
perso 2,contre mise place méthode a deux écoles,
perso 2,a ' école petits pa ' celle ' UMP Verts,
perso 2,considère ' faut ' abord définir projet concret,
perso 2,exemple transport,
perso 2,après invite maires commune voisines venir voir comment ça passe,
perso 2,voit si ' possible voit comment peut ' organiser,
perso 2,puis a ' autre école dit~ veut mettre place grande structure commune,
perso 2,avant~ après définir projets,
perso 2,' ca Bertrand Delanoë ' engage fois élu,
perso 2,a~ fois élu pardon,
perso 2,si réélu,
perso 2,regrouper tous maires nouvellement élu,
perso 2,décidé quel périètre qu'il appelle Paris métropole,
perso 2,c'est ca modem,
perso 2,voudraient plus soumettre conclusion référendum auprès habitant franciliens,
perso 2,histoire d'intéresser lecteurs,
perso 2,parce c'est vrai,
perso 2,c'est thème passionne politiques,
perso 2,parce ça bouleverse,
perso 2,euh,
perso 2,structure collectivités locale,
perso 2,' vrai peut être pensé ça passe petit peu dessus tête,
perso 2,euh,
perso 2,électeurs concret leurs préoccupations,
